file,session_id,run_id,stt_engine,selected_problem_count,source,chunk_mode_raw,chunk_mode,problems,submitted,correct,wrong,accuracy_pct,accuracy_submitted_pct,false_begin_rate_pct,empty_final_rate_pct,stale_wrong_rate_pct,numeric_wer_proxy,begin_gate_fail_count,begin_window_finals,begin_window_non_begin_finals,skipped_count,skipped_empty_final_count,skipped_non_numeric_symbol_count,skipped_other_count,skipped_events_count,stale_ignored,stale_final_ignored,uploads,upload_p50_ms,upload_p90_ms,upload_max_ms,server_requests,server_responses,server_ffmpeg_errors,server_whisper_errors,server_http_errors
sc_log_run-60226.1750.16-of3w_s1_p5_wspc_vad_mic.jsonl,sess_mm423nq4_vv8nkx,run_20260226_175016_of3w,wspc,5,mic,utterance,vad,5,5,5,0,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,868,896,1420,0,0,0,0,0
sc_log_run-60226.1750.54-7wp2_s1_p5_wspc_vad_mic.jsonl,sess_mm424hip_30nyr0,run_20260226_175054_7wp2,wspc,5,mic,utterance,vad,6,5,4,1,66.667,80,0,11.111,0,0.142857,0,2,1,0,1,0,0,1,0,0,9,871,893,914,0,0,0,0,0
sc_log_run-60226.1751.55-n3kw_s3_p9_wspc_vad_mic.jsonl,sess_mm425u7z_5dbw3a,run_20260226_175155_n3kw,wspc,3,mic,utterance,vad,4,3,3,0,75,100,0,16.667,0,0,0,2,1,0,1,0,0,1,0,0,5,860,860,863,0,0,0,0,0
sc_log_run-60226.1751.55-n3kw_s3_p9_wspc_vad_mic.jsonl,sess_mm426ew8_qk68xz,run_20260226_175155_n3kw,wspc,3,mic,utterance,vad,3,3,3,0,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,844,855,959,0,0,0,0,0
sc_log_run-60226.1751.55-n3kw_s3_p9_wspc_vad_mic.jsonl,sess_mm426qha_qt0pjx,run_20260226_175155_n3kw,wspc,3,mic,utterance,vad,3,3,3,0,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,896,905,908,0,0,0,0,0
sc_log_run-60226.1753.10-uyly_s1_p7_wspc_vad_mic.jsonl,sess_mm427e9u_nbvjqt,run_20260226_175310_uyly,wspc,7,mic,utterance,vad,8,7,6,1,75,85.714,0,10,0,0.083333,0,1,0,0,1,0,0,1,0,0,10,849,863,923,0,0,0,0,0
sc_log_run-60226.1753.43-6yxh_s3_p30_wspc_vad_mic.jsonl,sess_mm428bia_oe0ni9,run_20260226_175343_6yxh,wspc,10,mic,utterance,vad,10,10,10,0,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,859,871,882,0,0,0,0,0
sc_log_run-60226.1753.43-6yxh_s3_p30_wspc_vad_mic.jsonl,sess_mm4293hd_q0zlpy,run_20260226_175343_6yxh,wspc,10,mic,utterance,vad,10,10,10,0,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,841,889,916,0,0,0,0,0
sc_log_run-60226.1753.43-6yxh_s3_p30_wspc_vad_mic.jsonl,sess_mm429uch_ws8mnl,run_20260226_175343_6yxh,wspc,10,mic,utterance,vad,10,10,9,1,90,90,0,0,0,0.0625,0,1,0,0,0,0,0,0,0,0,11,864,903,1701,0,0,0,0,0
