file,session_id,run_id,stt_engine,selected_problem_count,source,chunk_mode_raw,chunk_mode,problems,submitted,correct,wrong,accuracy_pct,accuracy_submitted_pct,false_begin_rate_pct,empty_final_rate_pct,stale_wrong_rate_pct,numeric_wer_proxy,begin_gate_fail_count,begin_window_finals,begin_window_non_begin_finals,skipped_count,skipped_empty_final_count,skipped_non_numeric_symbol_count,skipped_other_count,skipped_events_count,stale_ignored,stale_final_ignored,uploads,upload_p50_ms,upload_p90_ms,upload_max_ms,server_requests,server_responses,server_ffmpeg_errors,server_whisper_errors,server_http_errors
sc_log_run-60226.1751.55-n3kw_s3_p9_wspc_vad_mic.jsonl,sess_mm425u7z_5dbw3a,run_20260226_175155_n3kw,wspc,3,mic,utterance,vad,4,3,3,0,75,100,0,16.667,0,0,0,2,1,0,1,0,0,1,0,0,5,860,860,863,0,0,0,0,0
sc_log_run-60226.1751.55-n3kw_s3_p9_wspc_vad_mic.jsonl,sess_mm426ew8_qk68xz,run_20260226_175155_n3kw,wspc,3,mic,utterance,vad,3,3,3,0,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,844,855,959,0,0,0,0,0
sc_log_run-60226.1751.55-n3kw_s3_p9_wspc_vad_mic.jsonl,sess_mm426qha_qt0pjx,run_20260226_175155_n3kw,wspc,3,mic,utterance,vad,3,3,3,0,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,896,905,908,0,0,0,0,0
