file,session_id,run_id,selected_problem_count,source,chunk_mode_raw,chunk_mode,problems,submitted,correct,wrong,accuracy_pct,accuracy_submitted_pct,false_begin_rate_pct,empty_final_rate_pct,stale_wrong_rate_pct,numeric_wer_proxy,stale_ignored,stale_final_ignored,uploads,upload_p50_ms,upload_p90_ms,upload_max_ms,server_requests,server_responses,server_ffmpeg_errors,server_whisper_errors,server_http_errors
sc_log_run-60219.1020.35-h4xb_s2_p10_wspc_vad_mic.jsonl,sess_mltlz8co_ay72rt,run_20260219_102035_h4xb,5,mic,utterance,vad,6,5,5,0,83.333,100,0,14.286,0,0,0,0,6,871,903,949,6,6,0,0,0
sc_log_run-60219.1020.35-h4xb_s2_p10_wspc_vad_mic.jsonl,sess_mltlzrjd_29z7kx,run_20260219_102035_h4xb,5,mic,utterance,vad,5,5,5,0,100,100,0,0,0,0,0,0,6,860,883,909,6,6,0,0,0
