file,session_id,run_id,selected_problem_count,source,chunk_mode_raw,chunk_mode,problems,submitted,correct,wrong,accuracy_pct,accuracy_submitted_pct,false_begin_rate_pct,empty_final_rate_pct,stale_wrong_rate_pct,numeric_wer_proxy,stale_ignored,stale_final_ignored,uploads,upload_p50_ms,upload_p90_ms,upload_max_ms,server_requests,server_responses,server_ffmpeg_errors,server_whisper_errors,server_http_errors
sc_log_run-60218.1721.25-jv6v_s2_p10_wspc_vad_mic.jsonl,sess_mlsllcc0_ru6vrt,run_20260218_172125_jv6v,,mic,utterance,vad,5,5,5,0,100,100,0,0,0,0,0,0,6,869,950,1823,6,6,0,0,0
sc_log_run-60218.1721.25-jv6v_s2_p10_wspc_vad_mic.jsonl,sess_mlsllwoi_yazafl,run_20260218_172125_jv6v,,mic,utterance,vad,5,5,5,0,100,100,0,0,0,0,0,0,6,867,881,888,6,6,0,0,0
