file,session_id,run_id,stt_engine,selected_problem_count,source,chunk_mode_raw,chunk_mode,problems,submitted,correct,wrong,accuracy_pct,accuracy_submitted_pct,false_begin_rate_pct,empty_final_rate_pct,stale_wrong_rate_pct,numeric_wer_proxy,begin_gate_fail_count,begin_window_finals,begin_window_non_begin_finals,skipped_count,skipped_empty_final_count,skipped_non_numeric_symbol_count,skipped_other_count,skipped_events_count,stale_ignored,stale_final_ignored,uploads,upload_p50_ms,upload_p90_ms,upload_max_ms,server_requests,server_responses,server_ffmpeg_errors,server_whisper_errors,server_http_errors
sc_log_run-60226.1753.43-6yxh_s3_p30_wspc_vad_mic.jsonl,sess_mm428bia_oe0ni9,run_20260226_175343_6yxh,wspc,10,mic,utterance,vad,10,10,10,0,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,859,871,882,0,0,0,0,0
sc_log_run-60226.1753.43-6yxh_s3_p30_wspc_vad_mic.jsonl,sess_mm4293hd_q0zlpy,run_20260226_175343_6yxh,wspc,10,mic,utterance,vad,10,10,10,0,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,841,889,916,0,0,0,0,0
sc_log_run-60226.1753.43-6yxh_s3_p30_wspc_vad_mic.jsonl,sess_mm429uch_ws8mnl,run_20260226_175343_6yxh,wspc,10,mic,utterance,vad,10,10,9,1,90,90,0,0,0,0.0625,0,1,0,0,0,0,0,0,0,0,11,864,903,1701,0,0,0,0,0
